ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
2848,2020,OH,446.6,0.0,IPP Non-CHP,GAS,11.0,558.0,33.0,5929.454,0,0,0
7783,2020,OH,32.0,0.0077,Electric Utility,GAS,2153.0,27401.0,1616.0,1501.44,0,0,0
7782,2020,OH,32.0,0.0099,Electric Utility,GAS,2760.0,35517.0,2094.0,1517.609,0,0,0
59764,2020,OH,1061.5,0.6091,IPP Non-CHP,GAS,5663847.0,38070986.0,2262502.0,798.928,0,0,0
2935,2020,OH,84.5,0.0394,Electric Utility,GAS,29187.0,516412.0,41417.0,2838.073,0,0,0
2936,2020,OH,55.5,0.0039,Electric Utility,COAL,1900.0,29535.0,2817.0,2965.642,0,0,0
2937,2020,OH,81.1,0.0009,Electric Utility,OIL,655.0,16392.0,1339.0,4087.383,0,0,0
10244,2020,OH,92.8,0.4555,Industrial CHP,GAS,370260.0,1504544.0,0.0,0.0,0,0,0
2880,2020,OH,450.0,0.0624,IPP Non-CHP,GAS,245976.0,3145989.0,186960.0,1520.15,0,0,0
7872,2020,OH,594.0,0.0335,Electric Utility,GAS,174175.0,1834021.0,109421.0,1256.454,0,0,0
55401,2020,OH,977.5,0.0312,IPP Non-CHP,GAS,267126.0,3002013.0,178402.0,1335.716,0,0,0
2942,2020,OH,41.8,0.0014,Electric Utility,OIL,517.0,28861.0,2062.0,7976.89,0,0,0
2847,2020,OH,680.6,0.1597,IPP Non-CHP,GAS,952197.0,11927446.0,703687.0,1478.027,0,0,0
55348,2020,OH,795.6,0.1288,IPP Non-CHP,GAS,897389.0,9615269.0,571792.0,1274.346,0,0,0
2866,2020,OH,2468.1,0.2219,IPP Non-CHP,COAL,4797478.0,53871685.0,5650061.0,2355.43,0,0,0
6019,2020,OH,1425.6,0.4463,IPP Non-CHP,COAL,5572889.0,54657422.0,5600747.0,2009.998,0,0,0
55397,2020,OH,714.9,0.7893,IPP Non-CHP,GAS,4943261.0,36337256.0,2159467.0,873.701,0,0,0
55503,2020,OH,921.6,0.8216,IPP Non-CHP,GAS,6633216.0,46402093.0,2757611.0,831.455,0,0,0
2909,2020,OH,32.0,0.0,Electric Utility,GAS,0.0,0.0,0.0,0.0,0,0,0
2869,2020,OH,555.6,0.0145,IPP Non-CHP,OIL,70477.0,888019.0,54100.0,1535.256,0,0,0
7158,2020,OH,571.8,0.011,Electric Utility,GAS,54947.0,1009050.0,60089.0,2187.151,0,0,0
2854,2020,OH,126.6,0.0097,IPP Non-CHP,GAS,10794.0,479553.0,28027.0,5193.115,0,0,0
50481,2020,TN,194.3,0.6636,Industrial CHP,COAL,1129416.0,6651423.0,502996.0,890.719,0,0,0
56807,2020,VA,559.0,0.8721,Electric Utility,GAS,4270401.0,30382241.0,1805606.0,845.638,1,0,0
54304,2020,VA,258.3,0.0342,IPP Non-CHP,COAL,77427.0,1058634.0,108616.0,2805.631,1,0,0
58260,2020,VA,1472.2,0.7726,Electric Utility,GAS,9963634.0,69586192.0,4135382.0,830.095,1,0,0
55738,2020,VA,88.0,0.5926,IPP Non-CHP,GAS,456828.0,4357006.0,258932.0,1133.606,1,0,0
52089,2020,VA,29.8,0.7108,Industrial CHP,GAS,185563.0,1064235.0,62199.0,670.378,1,0,0
3803,2020,VA,812.1,0.0,Electric Utility,OIL,119.0,2063.0,168.0,2831.445,1,0,0
3797,2020,VA,1799.5,0.2212,Electric Utility,COAL,3486274.0,30464364.0,2528318.0,1450.441,1,0,0
3775,2020,VA,712.5,0.0434,Electric Utility,GAS,271022.0,3096889.0,184040.0,1358.117,1,0,0
